"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2022","22.7400","24.8050","26.2350","22.6800","","-8.20%"
"01-03-2022","24.7721","24.4600","26.9600","23.9744","","1.44%"
"01-02-2022","24.4202","22.4589","25.6350","21.9950","","8.85%"
"01-01-2022","22.4337","23.3250","24.7550","21.9495","","-3.59%"
"01-12-2021","23.2679","22.8200","23.4650","21.4300","","2.06%"
"01-11-2021","22.7984","23.9150","25.4250","22.6900","","-4.41%"
"01-10-2021","23.8500","22.1665","24.8550","21.9800","","7.43%"
"01-09-2021","22.2000","23.9055","24.9250","21.4112","","-7.05%"
"01-08-2021","23.8850","25.5400","26.0350","22.5250","","-6.19%"
"01-07-2021","25.4600","26.1230","26.7800","24.4850","","-2.47%"
"01-06-2021","26.1044","28.0615","28.5600","25.5300","","-6.94%"
"01-05-2021","28.0513","25.9250","28.7650","25.8000","","8.31%"
"01-04-2021","25.9000","24.4345","26.6950","24.2400","","6.19%"
"01-03-2021","24.3900","26.6500","27.1050","23.7799","","-8.38%"
"01-02-2021","26.6200","28.2950","30.0750","25.8950","","-1.41%"
"01-01-2021","27.0015","26.4000","27.9300","24.1999","","2.44%"
"01-12-2020","26.3584","22.6350","27.4050","22.5807","","16.61%"
"01-11-2020","22.6044","23.6550","26.0062","21.8965","","-4.34%"
"01-10-2020","23.6300","23.2250","25.5750","22.5800","","1.81%"
"01-09-2020","23.2100","28.2650","28.9100","21.6611","","-17.75%"
"01-08-2020","28.2200","24.7595","29.8634","23.4455","","15.80%"
"01-07-2020","24.3700","18.1700","26.2051","17.7598","","34.42%"
"01-06-2020","18.1300","17.8850","18.4387","16.9550","","1.63%"
"01-05-2020","17.8400","14.9480","17.9350","14.7100","","18.77%"
"01-04-2020","15.0200","13.9700","15.8600","13.8050","","7.52%"
"01-03-2020","13.9700","16.6900","17.5891","11.6402","","-16.15%"
"01-02-2020","16.6615","18.0500","18.9635","16.3850","","-7.60%"
"01-01-2020","18.0313","17.8500","18.8550","17.3738","","1.13%"
"01-12-2019","17.8300","16.9950","18.1700","16.5156","","4.76%"
"01-11-2019","17.0200","18.1150","18.2495","16.6378","","-6.10%"
"01-10-2019","18.1250","17.0014","18.3531","16.8782","","6.65%"
"01-09-2019","16.9950","18.4300","19.6713","16.9143","","-7.38%"
"01-08-2019","18.3500","16.2550","18.6750","15.9076","","12.89%"
"01-07-2019","16.2550","15.3350","16.6721","14.8778","","6.19%"
"01-06-2019","15.3075","14.5926","15.5754","14.5641","","5.06%"
"01-05-2019","14.5700","14.9450","15.0025","14.2782","","-2.44%"
"01-04-2019","14.9350","15.1305","15.3490","14.7368","","-1.32%"
"01-03-2019","15.1350","15.6000","15.6616","14.9628","","-3.00%"
"01-02-2019","15.6030","16.0660","16.2420","15.4785","","-2.88%"
"01-01-2019","16.0650","15.4955","16.2125","15.1630","","3.78%"
"01-12-2018","15.4800","14.2750","15.5335","14.2010","","9.24%"
"01-11-2018","14.1710","14.2650","14.9305","13.8755","","-0.35%"
"01-10-2018","14.2210","14.6700","14.9295","14.2280","","-2.60%"
"01-09-2018","14.6000","14.5335","14.7440","13.9235","","0.69%"
"01-08-2018","14.5000","15.5560","15.5765","14.3220","","-6.54%"
"01-07-2018","15.5140","16.1050","16.2420","15.1565","","-3.52%"
"01-06-2018","16.0800","16.4285","17.3380","15.9035","","-1.65%"
"01-05-2018","16.3500","16.3380","16.8475","16.0490","","0.26%"
"01-04-2018","16.3080","16.3650","17.3665","16.1815","","-0.07%"
"01-03-2018","16.3190","16.4090","16.8760","16.1145","","-0.52%"
"01-02-2018","16.4050","17.3355","17.4145","16.1905","","-5.23%"
"01-01-2018","17.3100","16.9755","17.7080","16.7430","","2.15%"
"01-12-2017","16.9460","16.4365","17.1305","15.6110","","3.20%"
"01-11-2017","16.4200","16.7175","17.3915","16.3110","","-1.62%"
"01-10-2017","16.6900","16.6555","17.4920","16.3205","","0.51%"
"01-09-2017","16.6050","17.6020","18.2265","16.6125","","-5.47%"
"01-08-2017","17.5660","16.8330","17.6825","16.1175","","4.62%"
"01-07-2017","16.7900","16.6390","16.8950","14.8785","","1.33%"
"01-06-2017","16.5700","17.3280","17.7700","16.3510","","-4.14%"
"01-05-2017","17.2860","17.2210","17.4960","16.0405","","0.56%"
"01-04-2017","17.1900","18.2530","18.6670","17.1485","","-5.65%"
"01-03-2017","18.2200","18.3095","18.4895","16.8100","","-0.47%"
"01-02-2017","18.3060","17.5700","18.5015","17.2550","","4.43%"
"01-01-2017","17.5300","15.9400","17.6255","15.8925","","10.02%"
"01-12-2016","15.9340","16.5010","17.2750","15.6150","","-3.31%"
"01-11-2016","16.4800","17.8915","19.0180","16.1600","","-7.78%"
"01-10-2016","17.8700","19.1565","19.3320","17.0985","","-6.66%"
"01-09-2016","19.1450","18.6525","20.1500","18.5745","","2.87%"
"01-08-2016","18.6100","20.3380","20.8000","18.3820","","-8.37%"
"01-07-2016","20.3100","18.7825","21.1235","18.6975","","8.67%"
"01-06-2016","18.6900","16.0125","18.8355","15.7950","","16.95%"
"01-05-2016","15.9810","17.8850","18.0230","15.8850","","-10.32%"
"01-04-2016","17.8200","15.4375","17.9690","14.7750","","15.59%"
"01-03-2016","15.4160","14.8950","16.1580","14.7085","","3.60%"
"01-02-2016","14.8800","14.2520","15.9750","14.1935","","4.36%"
"01-01-2016","14.2590","13.8495","14.5865","13.7305","","3.10%"
"01-12-2015","13.8300","14.0875","14.6705","13.6250","","-1.81%"
"01-11-2015","14.0850","15.5450","15.5750","13.8850","","-9.25%"
"01-10-2015","15.5200","14.5300","16.3850","14.3850","","6.96%"
"01-09-2015","14.5100","14.6450","15.4600","14.2650","","-0.62%"
"01-08-2015","14.6000","14.8000","15.6900","13.9550","","-1.15%"
"01-07-2015","14.7700","15.7150","15.8550","14.3650","","-6.16%"
"01-06-2015","15.7400","16.7250","17.1800","15.4263","","-5.72%"
"01-05-2015","16.6950","16.1600","17.7950","15.8950","","3.57%"
"01-04-2015","16.1200","16.6400","17.3350","15.5900","","-3.01%"
"01-03-2015","16.6200","16.6100","17.4300","15.2850","","0.12%"
"01-02-2015","16.6000","17.1850","17.7600","16.0750","","-3.60%"
"01-01-2015","17.2200","15.6900","18.5050","15.5250","","9.96%"
"01-12-2014","15.6600","15.4650","17.3550","14.4500","","1.62%"
"01-11-2014","15.4100","16.1800","16.7450","15.0550","","-4.52%"
"01-10-2014","16.1400","16.9900","17.8250","15.7900","","-4.72%"
"01-09-2014","16.9400","19.4750","19.5650","16.8600","","-12.82%"
"01-08-2014","19.4300","20.4000","20.5650","19.2700","","-4.52%"
"01-07-2014","20.3500","21.0200","21.5900","20.2950","","-2.96%"
"01-06-2014","20.9700","18.8150","21.2150","18.6550","","12.26%"
"01-05-2014","18.6800","19.1600","20.0050","18.6250","","-2.25%"
"01-04-2014","19.1100","19.7600","20.4300","18.9450","","-3.04%"
"01-03-2014","19.7100","21.2400","21.7900","19.5700","","-6.98%"
"01-02-2014","21.1900","19.1800","22.1950","19.0700","","10.94%"
"01-01-2014","19.1000","19.3900","20.6150","18.8250","","-1.60%"
"01-12-2013","19.4100","19.9550","20.5000","18.8250","","-2.71%"
"01-11-2013","19.9500","21.8900","22.0650","19.5650","","-8.70%"
"01-10-2013","21.8500","21.6600","23.0850","20.5050","","0.97%"
"01-09-2013","21.6400","23.4300","24.5000","21.2050","","-7.76%"
"01-08-2013","23.4600","19.8500","25.1000","19.1550","","18.48%"
"01-07-2013","19.8000","19.6250","20.6400","18.6650","","0.97%"
"01-06-2013","19.6100","22.2900","22.9800","18.2150","","-11.71%"
"01-05-2013","22.2100","24.3300","24.4550","20.8700","","-8.53%"
"01-04-2013","24.2800","28.2950","28.4250","22.0600","","-14.27%"
"01-03-2013","28.3200","28.5300","29.3700","27.9650","","-0.67%"
"01-02-2013","28.5100","31.4550","32.1600","28.2850","","-9.23%"
"01-01-2013","31.4100","30.3450","32.4650","29.2300","","3.63%"
"01-12-2012","30.3100","33.4850","33.8300","29.6200","","-9.25%"
"01-11-2012","33.4000","32.2500","34.4000","30.6650","","3.69%"
"01-10-2012","32.2100","34.4600","35.4000","31.5350","","-6.53%"
"01-09-2012","34.4600","31.7050","35.1750","31.5300","","8.74%"
"01-08-2012","31.6900","27.7550","31.7800","26.9750","","13.54%"
"01-07-2012","27.9100","27.5100","28.4550","26.4800","","1.71%"
"01-06-2012","27.4400","27.7200","29.9050","26.1350","","-0.76%"
"01-05-2012","27.6500","31.0700","31.3400","26.7550","","-10.66%"
"01-04-2012","30.9500","32.4150","33.2900","29.9450","","-3.94%"
"01-03-2012","32.2200","34.6300","35.6400","31.0850","","-6.85%"
"01-02-2012","34.5900","33.1900","37.4800","32.6600","","4.44%"
"01-01-2012","33.1200","27.7300","34.1150","27.7500","","19.61%"
"01-12-2011","27.6900","32.8300","33.6800","26.1650","","-15.61%"
"01-11-2011","32.8100","34.1950","35.3500","30.6550","","-3.95%"
"01-10-2011","34.1600","29.8800","35.6800","28.4250","","14.29%"
"01-09-2011","29.8900","41.5100","43.3950","26.0650","","-27.92%"
"01-08-2011","41.4700","39.8600","44.1800","36.9850","","4.14%"
"01-07-2011","39.8200","34.7400","41.4500","33.4600","","14.92%"
"01-06-2011","34.6500","38.5100","38.5350","33.3900","","-9.88%"
"01-05-2011","38.4500","47.9400","48.1650","32.3550","","-19.81%"
"01-04-2011","47.9500","37.6400","49.5400","37.0800","","27.36%"
"01-03-2011","37.6500","33.8500","38.1500","33.5850","","11.31%"
"01-02-2011","33.8250","28.0650","34.3300","27.8800","","20.57%"
"01-01-2011","28.0550","30.8650","31.2450","26.4100","","-9.24%"
"01-12-2010","30.9100","28.1000","30.9450","27.9800","","10.06%"
"01-11-2010","28.0850","24.7450","29.3550","23.9550","","13.59%"
"01-10-2010","24.7250","21.7250","24.9200","21.7050","","13.68%"
"01-09-2010","21.7500","19.4000","22.0900","19.2800","","12.23%"
"01-08-2010","19.3800","18.0100","19.4250","17.7400","","7.73%"
"01-07-2010","17.9900","18.6100","18.6750","17.3350","","-3.28%"
"01-06-2010","18.6000","18.5300","19.4650","17.1900","","0.16%"
"01-05-2010","18.5700","18.6500","19.8200","17.0850","","-0.40%"
"01-04-2010","18.6450","17.5050","18.7700","17.4650","","6.54%"
"01-03-2010","17.5000","16.6000","17.6500","16.3250","","6.22%"
"01-02-2010","16.4750","16.1950","16.9450","14.6550","","1.79%"
"01-01-2010","16.1850","16.8850","18.8850","15.9950","","-3.98%"
"01-12-2009","16.8550","18.4850","19.4550","16.7450","","-8.57%"
"01-11-2009","18.4350","16.2750","18.9350","16.2450","","13.10%"
"01-10-2009","16.3000","16.6100","18.1000","15.9200","","-2.04%"
"01-09-2009","16.6400","14.9300","17.6800","14.6800","","11.57%"
"01-08-2009","14.9150","13.8950","15.1850","13.5050","","7.07%"
"01-07-2009","13.9300","13.6200","14.1200","12.4800","","2.43%"
"01-06-2009","13.6000","15.7300","16.2500","13.4900","","-13.81%"
"01-05-2009","15.7800","12.3700","15.7900","12.0700","","27.46%"
"01-04-2009","12.3800","12.9800","13.2400","11.8300","","-4.62%"
"01-03-2009","12.9800","13.1300","13.9300","11.9400","","-1.14%"
"01-02-2009","13.1300","12.6900","14.6400","12.1700","","3.63%"
"01-01-2009","12.6700","11.3500","12.6900","10.3500","","11.53%"
"01-12-2008","11.3600","10.3300","11.5800","9.1700","","10.40%"
"01-11-2008","10.2900","9.8500","10.8200","8.8400","","4.36%"
"01-10-2008","9.8600","12.0800","13.0100","8.4700","","-18.31%"
"01-09-2008","12.0700","13.6100","13.8000","10.3000","","-11.45%"
"01-08-2008","13.6300","17.7500","17.7900","12.4400","","-23.12%"
"01-07-2008","17.7300","17.4300","19.5000","16.8500","","1.84%"
"01-06-2008","17.4100","16.8900","17.8900","16.2800","","3.14%"
"01-05-2008","16.8800","16.8000","18.3600","15.9700","","0.06%"
"01-04-2008","16.8700","17.2000","18.7900","16.3200","","-2.09%"
"01-03-2008","17.2300","19.7700","21.2700","16.7500","","-13.02%"
"01-02-2008","19.8100","16.8800","19.9500","16.1900","","17.22%"
"01-01-2008","16.9000","14.7800","17.0200","14.7700","","14.27%"
"01-12-2007","14.7900","13.9500","14.9200","13.5800","","5.64%"
"01-11-2007","14.0000","14.4600","16.2100","13.7800","","-3.45%"
"01-10-2007","14.5000","13.7800","14.5400","13.0500","","5.15%"
"01-09-2007","13.7900","12.0900","13.8600","11.9900","","14.34%"
"01-08-2007","12.0600","12.8300","13.1900","11.0300","","-6.07%"
"01-07-2007","12.8400","12.4500","13.5000","12.3300","","3.46%"
"01-06-2007","12.4100","13.4300","13.8200","12.1100","","-7.59%"
"01-05-2007","13.4300","13.3600","13.6400","12.6800","","0.15%"
"01-04-2007","13.4100","13.3900","14.1300","12.9700","","0.22%"
"01-03-2007","13.3800","14.1100","14.3200","12.3800","","-5.51%"
"01-02-2007","14.1600","13.4900","14.7500","13.2200","","4.58%"
"01-01-2007","13.5400","12.8400","13.6800","12.0000","","4.96%"
"01-12-2006","12.9000","13.9400","14.2100","12.2700","","-7.66%"
"01-11-2006","13.9700","12.2500","14.0000","12.2300","","13.76%"
"01-10-2006","12.2800","11.4300","12.2900","10.5500","","7.34%"
"01-09-2006","11.4400","12.8700","13.2600","10.4200","","-11.32%"
"01-08-2006","12.9000","11.3800","12.9300","11.2500","","13.76%"
"01-07-2006","11.3400","10.9500","11.8500","10.4000","","3.00%"
"01-06-2006","11.0100","12.5100","12.5700","9.3800","","-12.20%"
"01-05-2006","12.5400","13.6600","15.2200","11.9000","","-8.60%"
"01-04-2006","13.7200","11.4700","14.7300","11.4700","","19.30%"
"01-03-2006","11.5000","9.7300","11.9300","9.6300","","17.71%"
"01-02-2006","9.7700","9.8300","9.9300","9.0400","","-0.51%"
"01-01-2006","9.8200","8.8100","9.9300","8.7800","","11.34%"
"01-12-2005","8.8200","8.2400","8.8200","8.8100","","6.91%"
"01-11-2005","8.2500","7.5500","8.2500","8.2400","","9.42%"
"01-10-2005","7.5400","7.4200","7.5400","7.5200","","1.07%"
"01-09-2005","7.4600","6.8300","7.4600","7.4400","","9.22%"
"01-08-2005","6.8300","7.2100","6.8300","6.8200","","-5.53%"
"01-07-2005","7.2300","7.0000","7.2300","7.2200","","2.55%"
"01-06-2005","7.0500","7.3800","7.0500","7.0400","","-4.73%"
"01-05-2005","7.4000","6.9000","7.4000","7.3900","","7.25%"
"01-04-2005","6.9000","7.1200","6.9000","6.8900","","-3.50%"
"01-03-2005","7.1500","7.2800","7.1500","7.1400","","-2.32%"
"01-02-2005","7.3200","6.7000","7.3200","7.3100","","8.77%"
"01-01-2005","6.7300","6.8000","6.7300","6.7200","","-1.03%"
"01-12-2004","6.8000","7.7000","6.8000","6.7900","","-11.69%"
"01-11-2004","7.7000","7.3100","7.7000","7.6800","","5.77%"
"01-10-2004","7.2800","6.8600","7.2800","7.2600","","5.66%"
"01-09-2004","6.8900","6.7400","6.8900","6.8800","","2.07%"
"01-08-2004","6.7500","6.5900","6.7500","6.7400","","3.21%"
"01-07-2004","6.5400","5.8200","6.5400","6.5200","","12.18%"
"01-06-2004","5.8300","6.1300","5.8300","5.8200","","-5.51%"
"01-05-2004","6.1700","6.0900","6.1700","6.1500","","2.15%"
"01-04-2004","6.0400","7.9000","6.0400","6.0200","","-23.74%"
"01-03-2004","7.9200","6.6300","7.9200","7.9000","","18.39%"
"01-02-2004","6.6900","6.2400","6.6900","6.6800","","7.38%"
"01-01-2004","6.2300","5.9300","6.2300","6.2200","","4.88%"
"01-12-2003","5.9400","5.3500","5.9400","5.9300","","11.03%"
"01-11-2003","5.3500","5.0400","5.3500","5.3400","","5.94%"
"01-10-2003","5.0500","5.1100","5.0500","5.0400","","-1.37%"
"01-09-2003","5.1200","5.1000","5.1200","5.1100","","0.39%"
"01-08-2003","5.1000","5.1200","5.1000","5.0900","","-0.78%"
"01-07-2003","5.1400","4.5400","5.1400","5.1300","","12.72%"
"01-06-2003","4.5600","4.5100","4.5600","4.5500","","0.66%"
"01-05-2003","4.5300","4.6400","4.5300","4.5200","","-2.58%"
"01-04-2003","4.6500","4.4600","4.6500","4.6400","","4.03%"
"01-03-2003","4.4700","4.5700","4.4700","4.4600","","-2.83%"
"01-02-2003","4.6000","4.8400","4.6000","4.5900","","-4.96%"
"01-01-2003","4.8400","4.7600","4.8400","4.8300","","1.47%"
"01-12-2002","4.7700","4.4300","4.7700","4.7600","","7.43%"
"01-11-2002","4.4400","4.5000","4.4400","4.4300","","-1.55%"
"01-10-2002","4.5100","4.5300","4.5100","4.5000","","-0.44%"
"01-09-2002","4.5300","4.4600","4.5300","4.5200","","1.57%"
"01-08-2002","4.4600","4.5900","4.4600","4.4500","","-3.04%"
"01-07-2002","4.6000","4.8200","4.6000","4.5900","","-4.76%"
"01-06-2002","4.8300","5.0200","4.8300","4.8200","","-3.59%"
"01-05-2002","5.0100","4.5200","5.0100","5.0000","","10.35%"
"01-04-2002","4.5400","4.6600","4.5400","4.5300","","-2.16%"
"01-03-2002","4.6400","4.5000","4.6400","4.6300","","2.88%"
"01-02-2002","4.5100","4.2200","4.5100","4.5000","","6.37%"
"01-01-2002","4.2400","4.6000","4.2400","4.2300","","-8.23%"
"01-12-2001","4.6200","4.1600","4.6200","4.6100","","10.79%"
"01-11-2001","4.1700","4.2100","4.1700","4.1600","","-1.18%"
"01-10-2001","4.2200","4.6300","4.2200","4.2100","","-9.05%"
"01-09-2001","4.6400","4.1800","4.6400","4.6300","","10.48%"
"01-08-2001","4.2000","4.2300","4.2000","4.1800","","-0.94%"
"01-07-2001","4.2400","4.3100","4.2400","4.2300","","-1.62%"
"01-06-2001","4.3100","4.3900","4.3100","4.3000","","-2.05%"
"01-05-2001","4.4000","4.3300","4.4000","4.3900","","1.38%"
"01-04-2001","4.3400","4.2900","4.3400","4.3300","","0.93%"
"01-03-2001","4.3000","4.4700","4.3000","4.2900","","-4.02%"
"01-02-2001","4.4800","4.7800","4.4800","4.4700","","-6.47%"
"01-01-2001","4.7900","4.5800","4.7900","4.7800","","4.13%"
"01-12-2000","4.6000","4.6900","4.6000","4.5900","","-1.92%"
"01-11-2000","4.6900","4.7400","4.6900","4.6800","","-1.05%"
"01-10-2000","4.7400","4.8700","4.7400","4.7300","","-2.67%"
"01-09-2000","4.8700","4.9500","4.8700","4.8600","","-2.01%"
"01-08-2000","4.9700","4.9800","4.9700","4.9600","","-0.40%"
"01-07-2000","4.9900","5.0100","4.9900","4.9800","","-0.80%"
"01-06-2000","5.0300","4.9100","5.0300","5.0200","","2.24%"
"01-05-2000","4.9200","4.9400","4.9200","4.9100","","-1.01%"
"01-04-2000","4.9700","5.0000","4.9700","4.9600","","-0.80%"
"01-03-2000","5.0100","5.0600","5.0100","5.0000","","-1.18%"
"01-02-2000","5.0700","5.2600","5.0700","5.0600","","-3.43%"
"01-01-2000","5.2500","5.4000","5.2500","5.2400","","-3.14%"
"01-12-1999","5.4200","5.1900","5.4200","5.4000","","4.03%"
"01-11-1999","5.2100","5.1600","5.2100","5.2000","","0.00%"
"01-10-1999","5.2100","5.6000","5.2100","5.1900","","-6.63%"
"01-09-1999","5.5800","5.1700","5.5800","5.5700","","7.93%"
"01-08-1999","5.1700","5.4300","5.1700","5.1500","","-5.14%"
"01-07-1999","5.4500","5.2500","5.4500","5.4300","","3.42%"
"01-06-1999","5.2700","4.9000","5.2700","5.2500","","6.68%"
"01-05-1999","4.9400","5.4000","4.9400","4.9200","","-8.86%"
"01-04-1999","5.4200","4.9700","5.4200","5.4000","","9.05%"
"01-03-1999","4.9700","5.6400","4.9700","4.9600","","-11.88%"
"01-02-1999","5.6400","5.2400","5.6400","5.6300","","7.43%"
"01-01-1999","5.2500","5.0100","5.2500","5.2300","","4.17%"
"01-12-1998","5.0400","4.8500","5.0400","5.0200","","3.49%"
"01-11-1998","4.8700","5.0400","4.8700","4.8500","","-3.56%"
"01-10-1998","5.0500","5.3300","5.0500","5.0400","","-5.96%"
"01-09-1998","5.3700","4.7000","5.3700","5.3500","","14.74%"
"01-08-1998","4.6800","5.4300","4.6800","4.6600","","-14.13%"
"01-07-1998","5.4500","5.5100","5.4500","5.4300","","-1.62%"
"01-06-1998","5.5400","5.0900","5.5400","5.5200","","8.41%"
"01-05-1998","5.1100","6.2100","5.1100","5.0900","","-17.98%"
"01-04-1998","6.2300","6.4900","6.2300","6.2200","","-4.45%"
"01-03-1998","6.5200","6.4800","6.5200","6.5000","","0.31%"
"01-02-1998","6.5000","6.2300","6.5000","6.4800","","4.33%"
"01-01-1998","6.2300","5.9500","6.2300","6.2200","","3.83%"
"01-12-1997","6.0000","5.3000","6.0000","5.9900","","12.99%"
"01-11-1997","5.3100","4.7400","5.3100","5.3000","","11.55%"
"01-10-1997","4.7600","5.2100","4.7600","4.7500","","-8.81%"
"01-09-1997","5.2200","4.6700","5.2200","5.2100","","12.02%"
"01-08-1997","4.6600","4.4700","4.6600","4.6500","","3.79%"
"01-07-1997","4.4900","4.6300","4.4900","4.4800","","-3.23%"
"01-06-1997","4.6400","4.7000","4.6400","4.6300","","-1.49%"
"01-05-1997","4.7100","4.6700","4.7100","4.7000","","0.43%"
"01-04-1997","4.6900","5.0600","4.6900","4.6800","","-7.50%"
"01-03-1997","5.0700","5.3300","5.0700","5.0600","","-4.70%"
"01-02-1997","5.3200","4.8900","5.3200","5.3100","","7.69%"
"01-01-1997","4.9400","4.7600","4.9400","4.9300","","3.35%"
"01-12-1996","4.7800","4.7100","4.7800","4.7700","","1.06%"
"01-11-1996","4.7300","4.8000","4.7300","4.7200","","-1.66%"
"01-10-1996","4.8100","4.8500","4.8100","4.8000","","-1.23%"
"01-09-1996","4.8700","5.1700","4.8700","4.8600","","-6.17%"
"01-08-1996","5.1900","5.1400","5.1900","5.1800","","0.78%"
"01-07-1996","5.1500","5.0200","5.1500","5.1400","","2.59%"
"01-06-1996","5.0200","5.3900","5.0200","5.0100","","-7.04%"
"01-05-1996","5.4000","5.3200","5.4000","5.3900","","1.31%"
"01-04-1996","5.3300","5.5200","5.3300","5.3200","","-3.62%"
"01-03-1996","5.5300","5.4900","5.5300","5.5200","","0.18%"
"01-02-1996","5.5200","5.5800","5.5200","5.5100","","-1.08%"
"01-01-1996","5.5800","5.1800","5.5800","5.5700","","7.51%"
"01-12-1995","5.1900","5.2300","5.1900","5.1800","","-0.95%"
"01-11-1995","5.2400","5.3400","5.2400","5.2300","","-2.06%"
"01-10-1995","5.3500","5.4600","5.3500","5.3400","","-2.55%"
"01-09-1995","5.4900","5.3400","5.4900","5.4800","","2.62%"
"01-08-1995","5.3500","5.0400","5.3500","5.3400","","5.94%"
"01-07-1995","5.0500","5.0500","5.0500","5.0400","","0.00%"
"01-06-1995","5.0500","5.2900","5.0500","5.0400","","-4.90%"
"01-05-1995","5.3100","5.7100","5.3100","5.3000","","-7.33%"
"01-04-1995","5.7300","5.3000","5.7300","5.7200","","8.11%"
"01-03-1995","5.3000","4.5300","5.3000","5.2900","","17.00%"
"01-02-1995","4.5300","4.6500","4.5300","4.5200","","-3.00%"
"01-01-1995","4.6700","4.8800","4.6700","4.6600","","-4.50%"
"01-12-1994","4.8900","4.9100","4.8900","4.8800","","-0.61%"
"01-11-1994","4.9200","5.2600","4.9200","4.9200","","-6.46%"
"01-10-1994","5.2600","5.6100","5.2600","5.2500","","-6.41%"
"01-09-1994","5.6200","5.4300","5.6200","5.6100","","3.31%"
"01-08-1994","5.4400","5.3200","5.4400","5.4300","","2.26%"
"01-07-1994","5.3200","5.3700","5.3200","5.3100","","-0.93%"
"01-06-1994","5.3700","5.5300","5.3700","5.3600","","-3.07%"
"01-05-1994","5.5400","5.3400","5.5400","5.5300","","3.55%"
"01-04-1994","5.3500","5.7000","5.3500","5.3400","","-7.28%"
"01-03-1994","5.7700","5.3500","5.7700","5.7600","","7.45%"
"01-02-1994","5.3700","5.1300","5.3700","5.3600","","4.47%"
"01-01-1994","5.1400","5.1000","5.1400","5.1300","","0.59%"
"01-12-1993","5.1100","4.4400","5.1100","5.1000","","14.83%"
"01-11-1993","4.4500","4.3600","4.4500","4.4400","","1.60%"
"01-10-1993","4.3800","4.0700","4.3800","4.3700","","7.62%"
"01-09-1993","4.0700","4.7300","4.0700","4.0600","","-16.08%"
"01-08-1993","4.8500","5.3400","4.8500","4.8400","","-10.35%"
